"Name","CreationTime"
"week8","10/30/2023 2:00:33 PM"
"week9","10/30/2023 2:00:33 PM"
"FirstPowershell","10/30/2023 2:00:33 PM"
"file.ps1","10/30/2023 2:00:33 PM"
"firstpowershellscript.ps1","10/30/2023 2:00:33 PM"
"rep.csv","10/30/2023 2:00:33 PM"
"PowerShellBasicLab","10/30/2023 2:00:33 PM"
"ProcessManagement","10/31/2023 7:50:14 PM"
"outfolder","10/30/2023 2:00:33 PM"
"DummyFileOne.ps1","10/30/2023 2:00:33 PM"
"DummyFileTwo.ps1","10/30/2023 2:00:33 PM"
"PowerShelBasicLab.ps1","10/30/2023 2:00:33 PM"
"Screenshot (296).png","10/31/2023 7:47:32 PM"
"Screenshot (297).png","10/31/2023 7:47:32 PM"
"Screenshot (298).png","10/31/2023 7:47:29 PM"
"Screenshot (299).png","10/31/2023 7:47:29 PM"
"Screenshot (300).png","10/31/2023 7:47:29 PM"
"Screenshot (301).png","10/31/2023 7:47:29 PM"
"Screenshot (302).png","10/31/2023 7:47:29 PM"
"Screenshot (303).png","10/31/2023 7:47:29 PM"
"out.csv","10/30/2023 2:00:33 PM"
"five.csv","10/31/2023 9:11:44 PM"
"ProcessManagement.ps1","10/31/2023 7:50:44 PM"
"three.csv","10/31/2023 9:47:14 PM"
